id,text,category,binary_label,severity,language,source
724,your appearance looks embarrassing in that photo right now,appearance_attack,1,high,en,synthetic_template_v1
725,Again nobody cares about your assignment right now,general_abuse,1,medium,en,synthetic_template_v1
726,shut up and stop being so clueless right now,general_abuse,1,medium,en,synthetic_template_v1
727,Again this report was useful and interesting online,normal,0,none,en,synthetic_template_v1
728,honestly you embarrassed yourself with that code,humiliation,1,high,en,synthetic_template_v1
729,Thank you for your clear report online!,normal,0,none,en,synthetic_template_v1
730,really your style looks worthless online,appearance_attack,1,high,en,synthetic_template_v1
731,again your appearance looks useless in that photo today,appearance_attack,1,high,en,synthetic_template_v1
732,listen stop pretending you understand the post today,academic_attack,1,medium,en,synthetic_template_v1
733,post another terrible idea for us to mock,provocation,1,medium,en,synthetic_template_v1
734,again people say your idea was copied every time,rumor_mockery,1,high,en,synthetic_template_v1
735,seriously you embarrassed yourself with that presentation in this group,humiliation,1,high,en,synthetic_template_v1
736,again your message is completely useless every time,insult,1,medium,en,synthetic_template_v1
737,honestly everyone heard that you ruined the presentation online,rumor_mockery,1,high,en,synthetic_template_v1
738,Everyone can see how useless your answer is!,humiliation,1,high,en,synthetic_template_v1
739,honestly you sound incompetent in this report today,insult,1,medium,en,synthetic_template_v1
740,Get lost you annoying right now.,general_abuse,1,medium,en,synthetic_template_v1
741,Again post another useless code for us to mock online,provocation,1,medium,en,synthetic_template_v1
742,listen you embarrassed yourself with that assignment online,humiliation,1,high,en,synthetic_template_v1
743,Seriously we will keep reporting every project you post today.,harassment,1,high,en,synthetic_template_v1
744,seriously you sound clueless in this project today,insult,1,medium,en,synthetic_template_v1
745,honestly your assignment is a joke to everyone online,humiliation,1,high,en,synthetic_template_v1
746,really nobody should work with you on the idea right now,exclusion,1,medium,en,synthetic_template_v1
747,again you are so clueless every time,insult,1,medium,en,synthetic_template_v1
748,Again your effort on this presentation is appreciated.,normal,0,none,en,synthetic_template_v1
749,again let us improve the assignment together right now,normal,0,none,en,synthetic_template_v1
750,really this is another embarrassing post from you right now,humiliation,1,high,en,synthetic_template_v1
751,Honestly nobody cares about your drawing in this group!,general_abuse,1,medium,en,synthetic_template_v1
752,everyone knows you lied about the report in this group,rumor_mockery,1,high,en,synthetic_template_v1
753,really you are completely embarrassing online,general_abuse,1,medium,en,synthetic_template_v1
754,really your opinion makes no sense at all today,insult,1,medium,en,synthetic_template_v1
755,Honestly everyone knows you lied about the assignment every time.,rumor_mockery,1,high,en,synthetic_template_v1
756,really nobody wants to hear from you here in this group,harassment,1,high,en,synthetic_template_v1
757,again stop pretending you understand the code,academic_attack,1,medium,en,synthetic_template_v1
758,seriously you will never complete this assignment correctly in this group,academic_attack,1,medium,en,synthetic_template_v1
759,really everyone heard that you ruined the post right now,rumor_mockery,1,high,en,synthetic_template_v1
760,seriously please share your report when you are free today,normal,0,none,en,synthetic_template_v1
761,again everyone can see how useless your report is in this group,humiliation,1,high,en,synthetic_template_v1
762,seriously your style looks useless every time,appearance_attack,1,high,en,synthetic_template_v1
763,honestly i disagree with your answer but i respect your view,normal,0,none,en,synthetic_template_v1
764,again what a ridiculous thing to say right now,insult,1,medium,en,synthetic_template_v1
765,seriously you are too stupid to understand this message every time,academic_attack,1,medium,en,synthetic_template_v1
766,listen people say your assignment was copied today,rumor_mockery,1,high,en,synthetic_template_v1
767,seriously stop coming back to this page right now,harassment,1,high,en,synthetic_template_v1
768,honestly you sound incompetent in this idea,insult,1,medium,en,synthetic_template_v1
769,listen you look ugly in every picture online,appearance_attack,1,high,en,synthetic_template_v1
770,honestly this is the most pathetic assignment here right now,insult,1,medium,en,synthetic_template_v1
771,your appearance looks nonsense in that photo every time,appearance_attack,1,high,en,synthetic_template_v1
772,honestly that was a very ridiculous response today,insult,1,medium,en,synthetic_template_v1
773,Really you are acting like a annoying person.,insult,1,medium,en,synthetic_template_v1
774,seriously get lost you annoying,general_abuse,1,medium,en,synthetic_template_v1
775,nobody should work with you on the message online,exclusion,1,medium,en,synthetic_template_v1
776,stop posting photos because you look awkward in this group,appearance_attack,1,high,en,synthetic_template_v1
777,listen try again so everyone can laugh in this group,provocation,1,medium,en,synthetic_template_v1
778,seriously everyone can see how hopeless your comment is right now,humiliation,1,high,en,synthetic_template_v1
779,honestly stop posting photos because you look strange today,appearance_attack,1,high,en,synthetic_template_v1
780,honestly you are too clueless to understand this comment in this group,academic_attack,1,medium,en,synthetic_template_v1
781,really this is the most ridiculous answer here right now,insult,1,medium,en,synthetic_template_v1
782,post another useless message for us to mock every time,provocation,1,medium,en,synthetic_template_v1
783,this message was useful and interesting today,normal,0,none,en,synthetic_template_v1
784,seriously your appearance looks poor in that photo every time,appearance_attack,1,high,en,synthetic_template_v1
785,again you are completely worthless online,general_abuse,1,medium,en,synthetic_template_v1
786,seriously you always give awful answers right now,insult,1,medium,en,synthetic_template_v1
787,Seriously stop pretending you understand the design.,academic_attack,1,medium,en,synthetic_template_v1
788,seriously stop pretending you understand the research today,academic_attack,1,medium,en,synthetic_template_v1
789,seriously we will keep reporting every code you post online,harassment,1,high,en,synthetic_template_v1
790,your style looks pathetic every time,appearance_attack,1,high,en,synthetic_template_v1
791,seriously stop posting such useless things today,insult,1,medium,en,synthetic_template_v1
792,Honestly everyone knows you lied about the project right now,rumor_mockery,1,high,en,synthetic_template_v1
793,Listen nobody wants to hear from you here every time!,harassment,1,high,en,synthetic_template_v1
794,seriously we will keep reporting every project you post,harassment,1,high,en,synthetic_template_v1
795,your style looks hopeless in this group,appearance_attack,1,high,en,synthetic_template_v1
796,Seriously everyone should block you from the group every time,exclusion,1,medium,en,synthetic_template_v1
797,really we will keep reporting every assignment you post today,harassment,1,high,en,synthetic_template_v1
798,listen you are too useless to understand this post,academic_attack,1,medium,en,synthetic_template_v1
799,stop pretending you understand the code,academic_attack,1,medium,en,synthetic_template_v1
800,honestly your style looks nonsense right now,appearance_attack,1,high,en,synthetic_template_v1
801,listen post another embarrassing comment for us to mock today,provocation,1,medium,en,synthetic_template_v1
802,You do not belong in this chat in this group!,exclusion,1,medium,en,synthetic_template_v1
803,listen you embarrassed yourself with that comment every time,humiliation,1,high,en,synthetic_template_v1
804,Again continue arguing because nobody takes you seriously today.,provocation,1,medium,en,synthetic_template_v1
805,Honestly people say your comment was copied right now,rumor_mockery,1,high,en,synthetic_template_v1
806,seriously your report is creative in this group,normal,0,none,en,synthetic_template_v1
807,your code is the worst in the class online,academic_attack,1,medium,en,synthetic_template_v1
808,seriously this comment made you look ridiculous,humiliation,1,high,en,synthetic_template_v1
809,You are completely ridiculous right now,general_abuse,1,medium,en,synthetic_template_v1
810,listen your opinion is completely embarrassing in this group,insult,1,medium,en,synthetic_template_v1
811,listen everyone is laughing at your presentation online,humiliation,1,high,en,synthetic_template_v1
812,we will keep reporting every comment you post,harassment,1,high,en,synthetic_template_v1
813,Seriously you are too stupid to understand this research.,academic_attack,1,medium,en,synthetic_template_v1
814,again thank you for your thoughtful project online,normal,0,none,en,synthetic_template_v1
815,seriously post another useless design for us to mock,provocation,1,medium,en,synthetic_template_v1
816,honestly this design was useful and interesting every time,normal,0,none,en,synthetic_template_v1
817,seriously your opinion is a joke to everyone every time,humiliation,1,high,en,synthetic_template_v1
818,everyone knows you lied about the post today,rumor_mockery,1,high,en,synthetic_template_v1
819,really keep talking and show everyone how incompetent you are online,provocation,1,medium,en,synthetic_template_v1
820,Listen post another ridiculous answer for us to mock!,provocation,1,medium,en,synthetic_template_v1
821,seriously you explained the research very clearly right now,normal,0,none,en,synthetic_template_v1
822,post another hopeless opinion for us to mock today,provocation,1,medium,en,synthetic_template_v1
823,honestly you are too annoying to understand this post right now,academic_attack,1,medium,en,synthetic_template_v1
824,Your appearance looks hopeless in that photo every time.,appearance_attack,1,high,en,synthetic_template_v1
825,Listen keep talking and show everyone how worthless you are in this group!,provocation,1,medium,en,synthetic_template_v1
826,again get lost you ridiculous today,general_abuse,1,medium,en,synthetic_template_v1
827,seriously we will keep reporting every assignment you post right now,harassment,1,high,en,synthetic_template_v1
828,honestly everyone heard that you ruined the idea right now,rumor_mockery,1,high,en,synthetic_template_v1
829,listen that was a very pathetic response,insult,1,medium,en,synthetic_template_v1
830,really this is the most hopeless message here every time,insult,1,medium,en,synthetic_template_v1
831,people will joke about the way you look every time,appearance_attack,1,high,en,synthetic_template_v1
832,really everyone heard that you ruined the drawing online,rumor_mockery,1,high,en,synthetic_template_v1
833,really people say your assignment was copied every time,rumor_mockery,1,high,en,synthetic_template_v1
834,honestly nobody cares about your opinion in this group,general_abuse,1,medium,en,synthetic_template_v1
835,seriously this assignment made you look ridiculous today,humiliation,1,high,en,synthetic_template_v1
836,Really you are not welcome in our discussion in this group!,exclusion,1,medium,en,synthetic_template_v1
837,seriously you always give awful answers online,insult,1,medium,en,synthetic_template_v1
838,again this idea was useful and interesting today,normal,0,none,en,synthetic_template_v1
839,seriously i really liked your presentation every time,normal,0,none,en,synthetic_template_v1
840,Seriously show us another one of your failures today.,provocation,1,medium,en,synthetic_template_v1
841,Your answer proves you know nothing right now,academic_attack,1,medium,en,synthetic_template_v1
842,really we will keep reporting every opinion you post today,harassment,1,high,en,synthetic_template_v1
843,again nobody cares about your post online,general_abuse,1,medium,en,synthetic_template_v1
844,you are completely useless in this group,general_abuse,1,medium,en,synthetic_template_v1
845,your assignment makes no sense at all right now,insult,1,medium,en,synthetic_template_v1
846,you look ugly in every picture today,appearance_attack,1,high,en,synthetic_template_v1
847,again try again so everyone can laugh every time,provocation,1,medium,en,synthetic_template_v1
848,Really we will ignore everything you post.,harassment,1,high,en,synthetic_template_v1
849,seriously shut up and stop being so ridiculous in this group,general_abuse,1,medium,en,synthetic_template_v1
850,again nobody should work with you on the assignment,exclusion,1,medium,en,synthetic_template_v1
851,Listen everyone is tired of seeing your post,harassment,1,high,en,synthetic_template_v1
852,honestly your research is useful,normal,0,none,en,synthetic_template_v1
853,honestly this post made you look ridiculous,humiliation,1,high,en,synthetic_template_v1
854,seriously people say your assignment was copied in this group,rumor_mockery,1,high,en,synthetic_template_v1
855,Honestly what a clueless thing to say,insult,1,medium,en,synthetic_template_v1
856,seriously this opinion made you look ridiculous every time,humiliation,1,high,en,synthetic_template_v1
857,listen people will remember this embarrassing project,humiliation,1,high,en,synthetic_template_v1
858,honestly what a incompetent thing to say in this group,insult,1,medium,en,synthetic_template_v1
859,Really your effort on this project is appreciated every time!,normal,0,none,en,synthetic_template_v1
860,Listen well done and keep learning in this group.,normal,0,none,en,synthetic_template_v1
861,listen this is the most terrible post here in this group,insult,1,medium,en,synthetic_template_v1
862,everyone is tired of seeing your opinion online,harassment,1,high,en,synthetic_template_v1
863,Honestly stop pretending you understand the post in this group.,academic_attack,1,medium,en,synthetic_template_v1
864,Stop posting photos because you look ridiculous,appearance_attack,1,high,en,synthetic_template_v1
865,great job on the comment,normal,0,none,en,synthetic_template_v1
866,Really your appearance looks worthless in that photo every time.,appearance_attack,1,high,en,synthetic_template_v1
867,seriously post another poor research for us to mock in this group,provocation,1,medium,en,synthetic_template_v1
868,Listen we will keep reporting every answer you post online.,harassment,1,high,en,synthetic_template_v1
869,really i disagree with your assignment but i respect your view in this group,normal,0,none,en,synthetic_template_v1
870,again your code makes no sense at all online,insult,1,medium,en,synthetic_template_v1
871,Honestly we will continue without you today!,exclusion,1,medium,en,synthetic_template_v1
872,Really the whole group knows about your failure online.,rumor_mockery,1,high,en,synthetic_template_v1
873,seriously you are too stupid to understand this code right now,academic_attack,1,medium,en,synthetic_template_v1
874,listen everyone is tired of seeing your presentation today,harassment,1,high,en,synthetic_template_v1
875,Seriously your style looks poor today.,appearance_attack,1,high,en,synthetic_template_v1
876,People say your drawing was copied every time!,rumor_mockery,1,high,en,synthetic_template_v1
877,honestly the group is joking about your latest mistake today,rumor_mockery,1,high,en,synthetic_template_v1
878,really stop being such a loser right now,general_abuse,1,medium,en,synthetic_template_v1
879,Listen everyone knows you lied about the code today!,rumor_mockery,1,high,en,synthetic_template_v1
880,nobody wants to hear from you here online,harassment,1,high,en,synthetic_template_v1
881,honestly the group is joking about your latest mistake in this group,rumor_mockery,1,high,en,synthetic_template_v1
882,listen we will keep reporting every message you post every time,harassment,1,high,en,synthetic_template_v1
883,we will keep reporting every answer you post,harassment,1,high,en,synthetic_template_v1
884,you are so clueless online,insult,1,medium,en,synthetic_template_v1
885,really shut up and stop being so clueless today,general_abuse,1,medium,en,synthetic_template_v1
886,listen we will keep reporting every answer you post today,harassment,1,high,en,synthetic_template_v1
887,really everyone is tired of seeing your idea today,harassment,1,high,en,synthetic_template_v1
888,honestly you are acting like a clueless person,insult,1,medium,en,synthetic_template_v1
889,again thank you for your impressive design every time,normal,0,none,en,synthetic_template_v1
890,listen your opinion makes no sense at all online,insult,1,medium,en,synthetic_template_v1
891,seriously this is the most pathetic idea here in this group,insult,1,medium,en,synthetic_template_v1
892,seriously you embarrassed yourself with that project in this group,humiliation,1,high,en,synthetic_template_v1
893,really what a hopeless thing to say today,insult,1,medium,en,synthetic_template_v1
894,Again show us another one of your failures today.,provocation,1,medium,en,synthetic_template_v1
895,Again everyone is tired of seeing your presentation,harassment,1,high,en,synthetic_template_v1
896,honestly stop posting such ridiculous things right now,insult,1,medium,en,synthetic_template_v1
897,listen you look ridiculous in every picture,appearance_attack,1,high,en,synthetic_template_v1
898,honestly shut up and stop being so clueless,general_abuse,1,medium,en,synthetic_template_v1
899,again please share your message when you are free every time,normal,0,none,en,synthetic_template_v1
900,again we will keep reporting every presentation you post right now,harassment,1,high,en,synthetic_template_v1
901,seriously your project is completely ridiculous in this group,insult,1,medium,en,synthetic_template_v1
902,you sound incompetent in this message every time,insult,1,medium,en,synthetic_template_v1
903,seriously go on and embarrass yourself again every time,provocation,1,medium,en,synthetic_template_v1
904,listen that was a very foolish response today,insult,1,medium,en,synthetic_template_v1
905,honestly you are completely embarrassing,general_abuse,1,medium,en,synthetic_template_v1
906,Really your comment is completely useless today.,insult,1,medium,en,synthetic_template_v1
907,honestly that was a very foolish response online,insult,1,medium,en,synthetic_template_v1
908,really you are too annoying to understand this idea online,academic_attack,1,medium,en,synthetic_template_v1
909,seriously post another worthless design for us to mock in this group,provocation,1,medium,en,synthetic_template_v1
910,listen you always give useless answers right now,insult,1,medium,en,synthetic_template_v1
911,seriously great job on the comment every time,normal,0,none,en,synthetic_template_v1
912,you will never complete this opinion correctly in this group,academic_attack,1,medium,en,synthetic_template_v1
913,again keep posting because your mistakes entertain everyone every time,provocation,1,medium,en,synthetic_template_v1
914,honestly keep talking and show everyone how annoying you are in this group,provocation,1,medium,en,synthetic_template_v1
915,again your marks show that you are hopeless every time,academic_attack,1,medium,en,synthetic_template_v1
916,nobody cares about your comment every time,general_abuse,1,medium,en,synthetic_template_v1
917,get lost you hopeless in this group,general_abuse,1,medium,en,synthetic_template_v1
918,listen you embarrassed yourself with that post every time,humiliation,1,high,en,synthetic_template_v1
919,People will joke about the way you look.,appearance_attack,1,high,en,synthetic_template_v1
920,again stop posting photos because you look awkward right now,appearance_attack,1,high,en,synthetic_template_v1
921,Again reply again so everyone can laugh at you every time!,provocation,1,medium,en,synthetic_template_v1
922,Listen you are too ridiculous to understand this post right now.,academic_attack,1,medium,en,synthetic_template_v1
923,listen you are completely poor online,general_abuse,1,medium,en,synthetic_template_v1
924,really everyone can see how poor your report is,humiliation,1,high,en,synthetic_template_v1
925,seriously your message is a joke to everyone today,humiliation,1,high,en,synthetic_template_v1
926,listen your appearance looks embarrassing in that photo,appearance_attack,1,high,en,synthetic_template_v1
927,honestly your effort on this report is appreciated in this group,normal,0,none,en,synthetic_template_v1
928,again stop pretending you understand the project right now,academic_attack,1,medium,en,synthetic_template_v1
929,seriously nobody should work with you on the comment online,exclusion,1,medium,en,synthetic_template_v1
930,honestly nobody should work with you on the assignment in this group,exclusion,1,medium,en,synthetic_template_v1
931,We do not want you in this discussion in this group!,harassment,1,high,en,synthetic_template_v1
932,Really shut up and stop being so annoying in this group!,general_abuse,1,medium,en,synthetic_template_v1
933,Post another useless opinion for us to mock today!,provocation,1,medium,en,synthetic_template_v1
934,again nobody should work with you on the research today,exclusion,1,medium,en,synthetic_template_v1
935,seriously i really liked your design online,normal,0,none,en,synthetic_template_v1
936,Honestly great job on the opinion today,normal,0,none,en,synthetic_template_v1
937,listen this code was useful and interesting online,normal,0,none,en,synthetic_template_v1
938,listen keep talking and show everyone how incompetent you are,provocation,1,medium,en,synthetic_template_v1
939,listen we will continue without you,exclusion,1,medium,en,synthetic_template_v1
940,Seriously people say your presentation was copied online,rumor_mockery,1,high,en,synthetic_template_v1
941,really this drawing made you look ridiculous every time,humiliation,1,high,en,synthetic_template_v1
942,really you are too ridiculous to understand this assignment every time,academic_attack,1,medium,en,synthetic_template_v1
943,Listen nobody should work with you on the assignment online!,exclusion,1,medium,en,synthetic_template_v1
944,Seriously nobody wants to hear from you here right now!,harassment,1,high,en,synthetic_template_v1
945,Again nobody cares about your design right now.,general_abuse,1,medium,en,synthetic_template_v1
946,really everyone is tired of seeing your research right now,harassment,1,high,en,synthetic_template_v1
947,honestly this is the most hopeless opinion here every time,insult,1,medium,en,synthetic_template_v1
948,honestly you are too ridiculous to understand this code every time,academic_attack,1,medium,en,synthetic_template_v1
949,thank you for your impressive research online,normal,0,none,en,synthetic_template_v1
950,really stop pretending you understand the answer right now,academic_attack,1,medium,en,synthetic_template_v1
951,honestly you always give worthless answers online,insult,1,medium,en,synthetic_template_v1
952,honestly everyone is laughing at your report right now,humiliation,1,high,en,synthetic_template_v1
953,really keep talking and show everyone how annoying you are today,provocation,1,medium,en,synthetic_template_v1
954,Really you are a joke every time!,general_abuse,1,medium,en,synthetic_template_v1
955,Again keep away from our group conversations every time!,harassment,1,high,en,synthetic_template_v1
956,honestly stop pretending you understand the design every time,academic_attack,1,medium,en,synthetic_template_v1
957,seriously your message is completely terrible,insult,1,medium,en,synthetic_template_v1
958,again nobody should work with you on the drawing online,exclusion,1,medium,en,synthetic_template_v1
959,seriously people will remember this embarrassing research online,humiliation,1,high,en,synthetic_template_v1
960,you are too clueless to understand this message online,academic_attack,1,medium,en,synthetic_template_v1
961,Honestly your project is a complete failure today.,academic_attack,1,medium,en,synthetic_template_v1
962,Again you look terrible in every picture today,appearance_attack,1,high,en,synthetic_template_v1
963,again your appearance looks terrible in that photo today,appearance_attack,1,high,en,synthetic_template_v1
964,Listen your assignment is impressive in this group!,normal,0,none,en,synthetic_template_v1
965,honestly you are too foolish to understand this comment in this group,academic_attack,1,medium,en,synthetic_template_v1
966,really i disagree with your idea but i respect your view,normal,0,none,en,synthetic_template_v1
967,Honestly you sound annoying in this code right now.,insult,1,medium,en,synthetic_template_v1
968,seriously stop pretending you understand the presentation every time,academic_attack,1,medium,en,synthetic_template_v1
969,Listen post another terrible answer for us to mock in this group.,provocation,1,medium,en,synthetic_template_v1
970,again shut up and stop being so stupid every time,general_abuse,1,medium,en,synthetic_template_v1
971,again great job on the post today,normal,0,none,en,synthetic_template_v1
972,i disagree with your comment but i respect your view every time,normal,0,none,en,synthetic_template_v1
973,Your answer proves you know nothing today.,academic_attack,1,medium,en,synthetic_template_v1
974,Seriously people will remember this embarrassing project!,humiliation,1,high,en,synthetic_template_v1
975,seriously post another embarrassing research for us to mock every time,provocation,1,medium,en,synthetic_template_v1
976,honestly you sound annoying in this research today,insult,1,medium,en,synthetic_template_v1
977,listen people will joke about the way you look,appearance_attack,1,high,en,synthetic_template_v1
978,again shut up and stop being so annoying every time,general_abuse,1,medium,en,synthetic_template_v1
979,honestly your profile picture looks poor online,appearance_attack,1,high,en,synthetic_template_v1
980,really you will never complete this report correctly today,academic_attack,1,medium,en,synthetic_template_v1
981,what a worthless thing to say online,insult,1,medium,en,synthetic_template_v1
982,Seriously post another worthless project for us to mock,provocation,1,medium,en,synthetic_template_v1
983,listen stop posting photos because you look terrible,appearance_attack,1,high,en,synthetic_template_v1
984,Again you are completely useless today,general_abuse,1,medium,en,synthetic_template_v1
985,we will keep reporting every assignment you post in this group,harassment,1,high,en,synthetic_template_v1
986,really you are too stupid to understand this report right now,academic_attack,1,medium,en,synthetic_template_v1
987,listen everyone is tired of seeing your idea today,harassment,1,high,en,synthetic_template_v1
988,honestly stop pretending you understand the idea right now,academic_attack,1,medium,en,synthetic_template_v1
989,honestly we will keep reporting every answer you post right now,harassment,1,high,en,synthetic_template_v1
990,honestly your project is a complete failure online,academic_attack,1,medium,en,synthetic_template_v1
991,again you are completely poor online,general_abuse,1,medium,en,synthetic_template_v1
992,really stop posting such hopeless things,insult,1,medium,en,synthetic_template_v1
993,we will keep reporting every post you post in this group,harassment,1,high,en,synthetic_template_v1
994,seriously your code is creative right now,normal,0,none,en,synthetic_template_v1
995,again we will keep reporting every design you post right now,harassment,1,high,en,synthetic_template_v1
996,listen stop pretending you understand the post in this group,academic_attack,1,medium,en,synthetic_template_v1
997,really nobody should work with you on the answer today,exclusion,1,medium,en,synthetic_template_v1
998,great job on the answer right now,normal,0,none,en,synthetic_template_v1
999,Seriously everyone is tired of seeing your project.,harassment,1,high,en,synthetic_template_v1
1000,honestly nobody should work with you on the design today,exclusion,1,medium,en,synthetic_template_v1
1001,Honestly you do not belong in this chat every time!,exclusion,1,medium,en,synthetic_template_v1
1002,listen people say your message was copied today,rumor_mockery,1,high,en,synthetic_template_v1
1003,Listen you are too hopeless to understand this answer today!,academic_attack,1,medium,en,synthetic_template_v1
1004,really please share your research when you are free in this group,normal,0,none,en,synthetic_template_v1
1005,honestly that was a very clueless response every time,insult,1,medium,en,synthetic_template_v1
1006,honestly your appearance looks awful in that photo in this group,appearance_attack,1,high,en,synthetic_template_v1
1007,Listen post another pathetic message for us to mock.,provocation,1,medium,en,synthetic_template_v1
1008,honestly get lost you foolish right now,general_abuse,1,medium,en,synthetic_template_v1
1009,seriously your post is completely awful every time,insult,1,medium,en,synthetic_template_v1
1010,honestly you always fail at basic tasks today,academic_attack,1,medium,en,synthetic_template_v1
1011,listen you embarrassed yourself with that research today,humiliation,1,high,en,synthetic_template_v1
1012,Your code is completely worthless!,insult,1,medium,en,synthetic_template_v1
1013,again your appearance looks ridiculous in that photo in this group,appearance_attack,1,high,en,synthetic_template_v1
1014,Really your marks show that you are hopeless right now!,academic_attack,1,medium,en,synthetic_template_v1
1015,everyone is tired of seeing your assignment today,harassment,1,high,en,synthetic_template_v1
1016,seriously people say your answer was copied in this group,rumor_mockery,1,high,en,synthetic_template_v1
1017,stop pretending you understand the project every time,academic_attack,1,medium,en,synthetic_template_v1
1018,nobody should work with you on the post every time,exclusion,1,medium,en,synthetic_template_v1
1019,seriously that was a very stupid response in this group,insult,1,medium,en,synthetic_template_v1
1020,really you failed again in front of everyone online,humiliation,1,high,en,synthetic_template_v1
1021,Listen shut up and stop being so annoying every time,general_abuse,1,medium,en,synthetic_template_v1
1022,Listen we made another group without you online.,exclusion,1,medium,en,synthetic_template_v1
1023,seriously everyone can see how awful your project is every time,humiliation,1,high,en,synthetic_template_v1
1024,Listen people are sharing stories to make fun of you today.,rumor_mockery,1,high,en,synthetic_template_v1
1025,Really everyone is laughing at your answer!,humiliation,1,high,en,synthetic_template_v1
1026,honestly this is the most nonsense message here right now,insult,1,medium,en,synthetic_template_v1
1027,seriously stop posting photos because you look ugly in this group,appearance_attack,1,high,en,synthetic_template_v1
1028,Honestly do not include this person in the team in this group!,exclusion,1,medium,en,synthetic_template_v1
1029,Honestly great job on the report every time,normal,0,none,en,synthetic_template_v1
1030,You will never complete this code correctly in this group,academic_attack,1,medium,en,synthetic_template_v1
1031,seriously your code is the worst in the class every time,academic_attack,1,medium,en,synthetic_template_v1
1032,listen post another embarrassing drawing for us to mock right now,provocation,1,medium,en,synthetic_template_v1
1033,listen stop pretending you understand the idea today,academic_attack,1,medium,en,synthetic_template_v1
1034,listen stop posting such embarrassing things today,insult,1,medium,en,synthetic_template_v1
1035,Really everyone is tired of seeing your research in this group!,harassment,1,high,en,synthetic_template_v1
1036,really your research is completely pathetic in this group,insult,1,medium,en,synthetic_template_v1
1037,listen your profile picture looks poor in this group,appearance_attack,1,high,en,synthetic_template_v1
1038,again you look ugly in every picture,appearance_attack,1,high,en,synthetic_template_v1
1039,Seriously keep posting because your mistakes entertain everyone online.,provocation,1,medium,en,synthetic_template_v1
1040,seriously this project made you look ridiculous in this group,humiliation,1,high,en,synthetic_template_v1
1041,Really you look ridiculous in every picture,appearance_attack,1,high,en,synthetic_template_v1
1042,honestly your embarrassing story is spreading online every time,rumor_mockery,1,high,en,synthetic_template_v1
1043,you are a failure,academic_attack,1,medium,en,user_uploaded_dataset
1044,Seriously we will keep reporting every research you post right now.,harassment,1,high,en,synthetic_template_v1
1045,nobody cares about your design every time,general_abuse,1,medium,en,synthetic_template_v1
1046,Honestly people are sharing stories to make fun of you online!,rumor_mockery,1,high,en,synthetic_template_v1
1047,seriously shut up and stop being so stupid,general_abuse,1,medium,en,synthetic_template_v1
1048,again you are too useless to understand this design right now,academic_attack,1,medium,en,synthetic_template_v1
1049,really nobody should work with you on the message every time,exclusion,1,medium,en,synthetic_template_v1
1050,Again this is the most embarrassing answer here!,insult,1,medium,en,synthetic_template_v1
1051,honestly this is the most ridiculous assignment here,insult,1,medium,en,synthetic_template_v1
1052,this comment made you look ridiculous today,humiliation,1,high,en,synthetic_template_v1
1053,listen that was a very worthless response in this group,insult,1,medium,en,synthetic_template_v1
1054,seriously nobody should work with you on the design today,exclusion,1,medium,en,synthetic_template_v1
1055,really everyone knows you lied about the idea right now,rumor_mockery,1,high,en,synthetic_template_v1
1056,listen your assignment is completely nonsense,insult,1,medium,en,synthetic_template_v1
1057,Honestly what a ridiculous thing to say right now!,insult,1,medium,en,synthetic_template_v1
1058,Really post another embarrassing post for us to mock in this group!,provocation,1,medium,en,synthetic_template_v1
1059,listen you explained the idea very clearly today,normal,0,none,en,synthetic_template_v1
1060,you always make a fool of yourself online online,humiliation,1,high,en,synthetic_template_v1
1061,again everyone is laughing at your code right now,humiliation,1,high,en,synthetic_template_v1
1062,you explained the report very clearly every time,normal,0,none,en,synthetic_template_v1
1063,again this project made you look ridiculous every time,humiliation,1,high,en,synthetic_template_v1
1064,Really you are not welcome in our discussion online.,exclusion,1,medium,en,synthetic_template_v1
1065,Again that was a very useless response,insult,1,medium,en,synthetic_template_v1
1066,Seriously everyone will make fun of your appearance online.,appearance_attack,1,high,en,synthetic_template_v1
1067,Listen everyone is talking about your embarrassing mistake today.,rumor_mockery,1,high,en,synthetic_template_v1
1068,honestly post another nonsense post for us to mock,provocation,1,medium,en,synthetic_template_v1
1069,Seriously post another awful drawing for us to mock today,provocation,1,medium,en,synthetic_template_v1
1070,honestly stop posting photos because you look awkward in this group,appearance_attack,1,high,en,synthetic_template_v1
1071,again you are completely worthless today,general_abuse,1,medium,en,synthetic_template_v1
1072,seriously you explained the design very clearly in this group,normal,0,none,en,synthetic_template_v1
1073,Your appearance looks worthless in that photo right now.,appearance_attack,1,high,en,synthetic_template_v1
1074,honestly post another poor assignment for us to mock,provocation,1,medium,en,synthetic_template_v1
1075,Listen this comment was useful and interesting every time.,normal,0,none,en,synthetic_template_v1
1076,really your design is excellent online,normal,0,none,en,synthetic_template_v1
1077,honestly you do not belong in this chat today,exclusion,1,medium,en,synthetic_template_v1
1078,honestly get lost you pathetic in this group,general_abuse,1,medium,en,synthetic_template_v1
1079,post another pathetic assignment for us to mock every time,provocation,1,medium,en,synthetic_template_v1
1080,again you will never complete this drawing correctly every time,academic_attack,1,medium,en,synthetic_template_v1
1081,this opinion made you look ridiculous in this group,humiliation,1,high,en,synthetic_template_v1
1082,post another poor design for us to mock online,provocation,1,medium,en,synthetic_template_v1
1083,what a stupid thing to say right now,insult,1,medium,en,synthetic_template_v1
